"cid1","cid1_name","main_brand_name","sub_brand_name","sub_brand_code","monther_comany","sub_company","sale_qtty","gmv","item_name","spu_num","shop_name","dt"
"0","其他","飞科","飞科（FLYCO）","30822","飞科股份","上海飞科电器股份有限公司","14","210.0","飞科女士脱毛器原装刀头适用于FS7209和FS7208","2","飞科大草专卖店","2019-04"
"12","其他商品","TCL","TCL","10858","TCL集团","TCL集团股份有限公司","8026","632057.0","集成吊顶led灯电源驱动器 吸顶灯恒流镇流器变压器8W 12W 24W 38W","100","tcl车品官方旗舰店","2019-04"
"12","其他商品","TCL","TCL-罗格朗","41278","TCL集团","TCL集团股份有限公司","1837","142314.0","罗格朗触摸式感应led小夜灯婴儿床头灯usb快充插座应急灯家用","4","罗格朗官方旗舰店","2019-04"
"12","其他商品","Zara","Zara","13261850","ZARA官方旗舰店","ZARA官方旗舰店","10","8690.0","Zara Home 金色弓型台灯 44719047303","13","zarahome官方旗舰店","2019-04"
"12","其他商品","佰草集","Herborist/佰草集","20016","上海家化联合股份有限公司","上海家化联合股份有限公司","2","198.0","【赠品】佰草集新梦幻典萃美肌面膜15片（款式随机）","2","佰草集邦威专卖店","2019-04"
"12","其他商品","华帝","Vatti/华帝","30835","华帝股份","华帝股份有限公司","3","5292.0","华帝高速破壁加热料理机榨汁豆浆机多功能家用搅拌机（买烟灶赠）","3","苏宁易购官方旗舰店","2019-04"
"12","其他商品","南极人","南极人(NANJIREN)","107380","南极人(上海)股份有限公司","南极人(上海)股份有限公司","13131","1488023.0","瘦脸神器滚轮式v脸部按摩器仪手动提拉紧致面部男女溶脂3d美容棒","20","南极人雪莱专卖店","2019-04"
"12","其他商品","海尔","KKC","10448398","海尔集团","海尔信息科技（深圳）有限公司","9098","1176080.0","蜜粉色定制食品级硅胶漱口杯400ml 抗摔抗压只做换购用单拍不发货","38","kkc踞龙潭专卖店","2019-04"
"12","其他商品","海尔","海尔（Haier）","11016","海尔集团","青岛海尔投资发展有限公司","1914","272916.0","海尔智能家用体脂体重秤专业人体精准称重女生成人减肥小型电子称","23","海尔飞达专卖店","2019-04"
"12","其他商品","科沃斯","科沃斯（Ecovacs）","3592686","科沃斯股份","科沃斯机器人有限公司","594","594.0","科沃斯扫地机器人配件抹布边刷海帕滚刷电池水箱电源充电座邮费等","1","科沃斯科帅专卖店","2019-04"
"12","其他商品","美的","美的（Midea）","30652","美的集团","美的集团股份有限公司","251524","2.1879793E7","香薰灯小夜灯创意卧室床头浪漫睡眠灯饰网红调情趣护眼少女心台灯","1047","苏宁易购官方旗舰店","2019-04"
"12","其他商品","自然堂","CHANDO/自然堂","66927","伽蓝（集团）股份有限公司","伽蓝（集团）股份有限公司","15947","669733.0","自然堂雪域精粹冰肌水60ml 补水保湿滋养肌肤","3","自然堂旗舰店","2019-04"
"12","其他商品","阿迪达斯","Adidas/阿迪达斯","20579","阿迪达斯有限公司","阿迪达斯有限公司","14","210.0","【运费专拍】锐力运动专卖 邮费补差价","1","锐力运动户外专营店","2019-04"
"12","其他商品","韩束","红色小象","7951745","上海黎姿化妆品有限公司","上海黎姿化妆品有限公司","25","24975.0","【会员专享】免洗洗手液（便携式）","2","红色小象旗舰店","2019-04"
"12","其他商品","飞科","飞科（FLYCO）","30822","飞科股份","上海飞科电器股份有限公司","43461","3824922.0","飞科电动女士脱毛器刮腋毛腿毛刀阴毛修剪器私处剃毛机脱毛仪家用","45","飞科鼎发专卖店","2019-04"
