cid1,cid1_name,cid2,cid2_name,sale_qtty,gmv,spu_num,dt
0,医药保健,123690003,传统滋补,44563,905563,3404,Apr-19
0,其他,50026535,健康服务,160008,2.47E+08,23397,Apr-19
0,其他,125406001,天猫超市卡,473993,1.07E+08,54,Apr-19
0,其他,126602002,生活娱乐充值,16468963,1.78E+07,17,Apr-19
0,其他,126762001,美容美体仪器,15761,3576494,374,Apr-19
12,其他,120886001,公益捐赠/义卖,3764303,4783274,751,Apr-19
12,其他,50023724,其他,4831021,9.66E+07,13712,Apr-19
12,其他,98,包装,31008904,3.23E+08,21665,Apr-19
12,其他,126700003,家装灯饰光源,13796442,2.85E+09,346081,Apr-19
12,其他,124242008,智能设备,3515471,9.70E+08,523957,Apr-19
12,其他,201162107,汽车零部件/养护/美容/维保,9141000,9.01E+08,1327860,Apr-19
12,其他,127876007,清洗/食品/商业设备,83,421390,98,Apr-19
12,其他,126762001,美容美体仪器,6210841,1.17E+09,11012,Apr-19
7,家居家装,50020485,五金/工具,63390669,2.78E+09,6858565,Apr-19
7,家居家装,50008164,住宅家具,11922877,6.35E+09,868927,Apr-19
7,家居家装,124050001,全屋定制,7550186,5.71E+09,29014,Apr-19
7,家居家装,50020611,商业/办公家具,3809331,1.34E+09,103108,Apr-19
7,家居家装,50020332,基础建材,24519019,9.81E+08,158793,Apr-19
7,家居家装,50020808,家居饰品,15176654,1.29E+09,810012,Apr-19
7,家居家装,27,家装主材,9410338,1.57E+09,929397,Apr-19
7,家居家装,122852001,居家布艺,36064472,2.61E+09,388393,Apr-19
7,家居家装,50008163,床上用品,17465611,1.78E+09,263840,Apr-19
7,家居家装,50020857,特色手工艺,630394,2.98E+07,18101,Apr-19
7,家居家装,50020579,电子/电工,19925142,1.44E+09,217894,Apr-19
7,家居家装,50023804,装修设计/施工/监理,338575,2.01E+07,2778,Apr-19
4,家用电器,50002768,个人护理/保健/按摩器材,11195883,1.64E+09,37722,Apr-19
4,家用电器,50012082,厨房电器,12389980,3.62E+09,113395,Apr-19
4,家用电器,50022703,大家电,5159540,6.34E+09,112841,Apr-19
4,家用电器,127492005,家用空调,422,5083277,152,Apr-19
4,家用电器,50011972,影音电器,15724559,2.22E+09,6768954,Apr-19
4,家用电器,50012100,生活电器,7902045,2.09E+09,81510,Apr-19
3,手机数码,50008090,3C数码配件,77581589,2.79E+09,7366966,Apr-19
3,电脑、办公,50018222,DIY电脑,124346,4.19E+08,3071,Apr-19
3,手机数码,1201,MP3/MP4/iPod/录音笔,482983,1.19E+08,4862,Apr-19
3,电脑、办公,50007218,办公设备/耗材/相关服务,25627790,2.00E+09,766786,Apr-19
3,电脑、办公,124044001,品牌台机/品牌一体机/服务器,79361,5.64E+08,6333,Apr-19
3,电脑、办公,50019780,平板电脑/MID,197321,3.40E+08,1421,Apr-19
3,手机数码,1512,手机,2291905,4.95E+09,9226,Apr-19
3,手机数码,14,数码相机/单反相机/摄像机,89457,2.03E+08,18675,Apr-19
