"source","cid1","cid1_name","main_brand_name","sub_brand_name","sub_brand_code","monther_comany","sub_company","sale_qtty","gmv","item_name","dt"
"self","652","数码","TCL","TCL","188749","TCL集团","TCL集团公司","59","7562.0","TCL SOCL300入耳式耳机 有线线控动圈驱动 清晰平衡音质 【深空灰】vivo华为荣耀oppo苹果小米红米一加通用","2019-05"
"self","652","数码","创维","创维（Skyworth）","5565","创维集团","创维集团有限公司","164","318521.0","创维（Skyworth）音乐台灯 护眼灯 学习阅读写字智能灯 无频闪防蓝光 自带蓝牙音箱 多色温模式","2019-05"
"self","652","数码","创维","酷开","53513","创维集团","深圳创维-RGB电子有限公司","103","58936.0","酷开（coocaa）Live-time蓝牙音箱迷你音响 收音机复古留声音响2.0双声道（玫瑰粉）","2019-05"
"self","670","电脑、办公","TCL","TCL","2505","TCL集团","TCL集团股份有限公司","1944","1344713.0","TCL会议电话机座机 CP300 音视频会议终端系统/全向麦克风/来电显示/免提/商务办公会议电话 中型会议室","2019-05"
"self","670","电脑、办公","创维","创维（Skyworth）","217182","创维集团","深圳创维-RGB电子有限公司","18282","8984703.0","创维（Skyworth）腾讯无线投屏企业微信手机电视机投影培训同屏器 企业商务会议盒子","2019-05"
"self","670","电脑、办公","海尔","极限矩阵","69196","海尔集团","苏州海尔信息科技有限公司","132","652111.0","极限矩阵（matrimax）LT-270M1 27英寸 曲面吃鸡射击类电竞显示器（144Hz刷新1ms响应 DP+HDMI+DVI 1080P)","2019-05"
"self","670","电脑、办公","海尔","海尔（Haier）","7817","海尔集团","青岛海尔投资发展有限公司","2608","4616965.0","海尔（Haier）锋睿S420 14英寸轻薄学生商务笔记本电脑(N3350 4G 500G WIFI 蓝牙 1080P 正版Win10)","2019-05"
"self","670","电脑、办公","海尔","雷神（ThundeRobot）","48100","海尔集团","海尔信息科技（深圳）有限公司","8282","3.683866E7","（活动）雷神（ThundeRobot）911Targa曜蓝版B85 15.6英寸吃鸡游戏本（I7-8750H 8G 128G SSD+1T GTX1050Ti","2019-05"
"self","670","电脑、办公","美的","美的（Midea）","12380","美的集团","美的集团股份有限公司","9","218.0","美的（Midea）A1C03L1.6-A5 插座插排插线板 1.6米三孔位总控","2019-05"
"self","670","电脑、办公","飞科","飞科（FLYCO）","6736","飞科股份","上海飞科电器股份有限公司","699","24785.0","飞科（FLYCO）插座/插线板/插排/排插/接线板/拖线板 FS2009 独立安全保护门 全长3.0米","2019-05"
"self","737","家用电器","TCL","TCL","188749","TCL集团","TCL集团股份有限公司","508277","4.11076274E8","【京东智能冰箱】TCL 435升 智能彩屏十字对开门冰箱 双变频风冷无霜（岁月金） BCD-435WBEPIZ50","2019-05"
"self","737","家用电器","九阳","九阳（Joyoung）","9774","九阳股份","九阳股份有限公司","665059","1.47703914E8","赠品九阳（Joyoung）小红绳保温杯 便携水杯B32V8C 月黄","2019-05"
