source,cid1,cid1_name,cid2,cid2_name,sale_qtty,gmv,dt
pop,652,手机数码,654,摄影摄像,188934,1.08E+08,May-19
self,652,手机数码,654,摄影摄像,395120,3.18E+08,May-19
self,652,手机数码,828,影音娱乐,2380867,4.48E+08,May-19
pop,652,手机数码,828,影音娱乐,1484286,2.58E+08,May-19
self,652,手机数码,829,数码配件,1789249,1.24E+08,May-19
pop,652,手机数码,829,数码配件,564139,4.12E+07,May-19
self,652,手机数码,981,虚拟商品,570649,1299756,May-19
pop,652,手机数码,981,虚拟商品,770072,3079810,May-19
pop,652,手机数码,4973,赠品,180,0,May-19
self,652,手机数码,4973,赠品,95,0,May-19
pop,652,手机数码,12345,智能设备,840430,1.60E+08,May-19
self,652,手机数码,12345,智能设备,1382141,4.56E+08,May-19
self,652,手机数码,12346,电子教育,208930,9.51E+07,May-19
pop,652,手机数码,12346,电子教育,98638,2.95E+07,May-19
self,652,手机数码,16951,数码维修,18666,569930,May-19
pop,670,电脑、办公,671,电脑整机,1295872,1.02E+09,May-19
self,670,电脑、办公,671,电脑整机,1373139,3.15E+09,May-19
pop,670,电脑、办公,677,电脑配件,709990,4.06E+08,May-19
self,670,电脑、办公,677,电脑配件,1742333,1.05E+09,May-19
pop,670,电脑、办公,686,外设产品,2363296,1.51E+08,May-19
self,670,电脑、办公,686,外设产品,6456611,5.39E+08,May-19
pop,670,电脑、办公,699,网络产品,478276,6.42E+07,May-19
self,670,电脑、办公,699,网络产品,1529640,2.44E+08,May-19
pop,670,电脑、办公,703,服务产品,51117,5697016,May-19
self,670,电脑、办公,703,服务产品,29929,4893516,May-19
pop,670,电脑、办公,716,办公设备,1670028,3.58E+08,May-19
self,670,电脑、办公,716,办公设备,869229,5.14E+08,May-19
pop,670,电脑、办公,729,文具/耗材,6452937,1.90E+08,May-19
self,670,电脑、办公,729,文具/耗材,15087667,4.81E+08,May-19
pop,670,电脑、办公,807,赠品,213956,40061,May-19
self,670,电脑、办公,807,赠品,514,351,May-19
self,670,电脑、办公,12800,游戏设备,148970,4.77E+07,May-19
pop,670,电脑、办公,12800,游戏设备,166821,4.82E+07,May-19
pop,670,电脑、办公,16943,电脑办公安装,651,12910,May-19
self,670,电脑、办公,16943,电脑办公安装,4631,705951,May-19
pop,670,电脑、办公,16946,电脑办公维修,3,482,May-19
self,670,电脑、办公,16946,电脑办公维修,454,87105,May-19
self,737,家用电器,738,生活电器,3978565,1.11E+09,May-19
pop,737,家用电器,738,生活电器,2697367,5.33E+08,May-19
self,737,家用电器,752,厨房小电,4178828,8.07E+08,May-19
pop,737,家用电器,752,厨房小电,2234311,3.58E+08,May-19
self,737,家用电器,794,大家电,4775981,6.72E+09,May-19
pop,737,家用电器,794,大家电,2271980,1.47E+09,May-19
pop,737,家用电器,1276,个护健康,2648005,4.13E+08,May-19
self,737,家用电器,1276,个护健康,2272545,4.55E+08,May-19
self,737,家用电器,4826,赠品,31993,253,May-19
self,737,家用电器,13297,厨卫大电,780993,9.08E+08,May-19
pop,737,家用电器,13297,厨卫大电,670586,4.09E+08,May-19
self,737,家用电器,14857,商用电器,18635,1.02E+07,May-19
pop,737,家用电器,14857,商用电器,275395,1.11E+08,May-19
self,737,家用电器,16962,家电服务,654295,3660630,May-19
pop,737,家用电器,16962,家电服务,8211,536732,May-19
self,737,家用电器,17394,家电配件,213766,2.10E+07,May-19
pop,737,家用电器,17394,家电配件,481787,2.14E+07,May-19
self,737,家用电器,17407,视听影音,100330,4.92E+07,May-19
pop,737,家用电器,17407,视听影音,60497,3.28E+07,May-19
pop,1315,服装配饰,1342,男装,15725965,9.12E+08,May-19
self,1315,服装配饰,1342,男装,794256,7.80E+07,May-19
pop,1315,服装配饰,1343,女装,8548063,7.16E+08,May-19
self,1315,服装配饰,1343,女装,128862,1.58E+07,May-19
pop,1315,服装配饰,1345,内衣,6004629,2.89E+08,May-19
self,1315,服装配饰,1345,内衣,2216282,1.03E+08,May-19
self,1315,服装配饰,1346,服饰配件,373243,3.73E+07,May-19
pop,1315,服装配饰,1346,服饰配件,2724073,1.14E+08,May-19
self,1315,服装配饰,13529,洗衣服务,5,820,May-19
pop,1315,服装配饰,13529,洗衣服务,1,0,May-19
self,1316,美妆个护,1381,面部护肤,10420481,7.69E+08,May-19
pop,1316,美妆个护,1381,面部护肤,7131424,3.86E+08,May-19
pop,1316,美妆个护,1383,身体护理,3364,60658,May-19
pop,1316,美妆个护,1384,口腔护理,449,11230,May-19
pop,1316,美妆个护,1385,女性护理,1839,9361,May-19
pop,1316,美妆个护,1386,洗发护发,6313,47108,May-19
self,1316,美妆个护,1387,香水彩妆,2280510,2.48E+08,May-19
pop,1316,美妆个护,1387,香水彩妆,3108069,2.74E+08,May-19
pop,1316,美妆个护,1625,清洁用品,8387,137986,May-19
pop,1316,美妆个护,4976,赠品,11320,0,May-19
pop,1316,美妆个护,16831,男士面部护肤,869018,3.82E+07,May-19
self,1316,美妆个护,16831,男士面部护肤,2045152,1.07E+08,May-19
pop,1316,美妆个护,16832,美妆工具,747032,1.24E+07,May-19
self,1316,美妆个护,16832,美妆工具,708624,1.22E+07,May-19
pop,1318,运动户外,1462,户外装备,2547528,1.44E+08,May-19
self,1318,运动户外,1462,户外装备,1102394,6.80E+07,May-19
pop,1318,运动户外,1463,健身训练,835772,1.52E+08,May-19
self,1318,运动户外,1463,健身训练,243810,6.08E+07,May-19
pop,1318,运动户外,1466,体育用品,805983,6.33E+07,May-19
self,1318,运动户外,1466,体育用品,697256,5.73E+07,May-19
pop,1318,运动户外,2628,户外鞋服,820698,7.64E+07,May-19
self,1318,运动户外,2628,户外鞋服,109351,1.43E+07,May-19
self,1318,运动户外,12099,运动鞋包,534930,1.24E+08,May-19
pop,1318,运动户外,12099,运动鞋包,2985055,5.77E+08,May-19
self,1318,运动户外,12102,运动服饰,223155,3.03E+07,May-19
pop,1318,运动户外,12102,运动服饰,2428843,2.46E+08,May-19
pop,1318,运动户外,12115,骑行运动,894896,1.91E+08,May-19
self,1318,运动户外,12115,骑行运动,183533,2.94E+07,May-19
pop,1318,运动户外,12147,垂钓用品,2621417,1.15E+08,May-19
self,1318,运动户外,12147,垂钓用品,129047,7828686,May-19
pop,1318,运动户外,12154,游泳用品,331396,2.27E+07,May-19
self,1318,运动户外,12154,游泳用品,263712,1.99E+07,May-19
pop,1318,运动户外,15293,体育服务,2834,486973,May-19
pop,1318,运动户外,15684,运动护具,453270,2.33E+07,May-19
self,1318,运动户外,15684,运动护具,142340,9663656,May-19
self,1318,运动户外,15700,瑜伽舞蹈,225566,1.40E+07,May-19
pop,1318,运动户外,15700,瑜伽舞蹈,277944,1.81E+07,May-19
pop,1318,运动户外,15763,马术/民俗运动,16158,782509,May-19
self,1318,运动户外,15763,马术/民俗运动,12733,359898,May-19
pop,1318,运动户外,17040,冰上运动,763,212970,May-19
self,1318,运动户外,17040,冰上运动,8,2094,May-19
self,1318,运动户外,17122,武术搏击,12162,1241410,May-19
pop,1318,运动户外,17122,武术搏击,98304,1.12E+07,May-19
self,1318,运动户外,17228,棋牌麻将,46346,2989665,May-19
pop,1318,运动户外,17228,棋牌麻将,259254,1.79E+07,May-19
pop,1318,运动户外,17229,轮滑滑板,171381,1.92E+07,May-19
self,1318,运动户外,17229,轮滑滑板,41683,8041653,May-19
pop,1318,运动户外,17342,滑雪运动,2145,234360,May-19
pop,1319,母婴用品,1523,奶粉,1051683,1.96E+08,May-19
