"cid1","cid1_name","main_brand_name","sub_brand_name","sub_brand_code","monther_comany","sub_company","sale_qtty","gmv","item_name","spu_num","shop_name","dt"
"0","其他","飞科","飞科（FLYCO）","30822","飞科股份","上海飞科电器股份有限公司","8","120.0","飞科女士脱毛器原装刀头适用于FS7209和FS7208","2","飞科大草专卖店","2019-05"
"12","其他商品","TCL","TCL","10858","TCL集团","TCL集团股份有限公司","4584","538853.0","集成吊顶led灯电源驱动器 吸顶灯恒流镇流器变压器8W 12W 24W 38W","99","tcl车品官方旗舰店","2019-05"
"12","其他商品","TCL","TCL-罗格朗","41278","TCL集团","TCL集团股份有限公司","2775","219531.0","罗格朗触摸式感应led小夜灯婴儿床头灯usb快充插座应急灯家用","5","罗格朗官方旗舰店","2019-05"
"12","其他商品","Zara","Zara","13261850","ZARA官方旗舰店","ZARA官方旗舰店","47","27573.0","Zara Home 金色弓型台灯 44719047303","14","zarahome官方旗舰店","2019-05"
"12","其他商品","九阳","九阳（Joyoung）","30850","九阳股份","九阳股份有限公司","122","178.0","十字螺丝刀套装家用一字螺丝刀两用多功能五金工具小改锥万能起子","5","九阳好易购专卖店","2019-05"
"12","其他商品","佰草集","Herborist/佰草集","20016","上海家化联合股份有限公司","上海家化联合股份有限公司","1335","167630.0","【单拍默认不发货】佰草集中小样30ml佰草集水凝悦泽洁面乳","2","佰草集邦威专卖店","2019-05"
"12","其他商品","创维","创维（Skyworth）","11841","创维集团","创维集团有限公司","6","1794.0","创维小湃AI故事机礼盒版早教机智能WiFi宝宝婴幼儿童玩具电学习机","3","酷耐数码专营店","2019-05"
"12","其他商品","华帝","Vatti/华帝","30835","华帝股份","华帝股份有限公司","89","15906.0","华帝高速破壁加热料理机榨汁豆浆机多功能家用搅拌机（买烟灶赠）","4","苏宁易购官方旗舰店","2019-05"
"12","其他商品","南极人","南极人(NANJIREN)","107380","南极人(上海)股份有限公司","南极人(上海)股份有限公司","34233","4625511.0","瘦脸神器滚轮式v脸部按摩器仪手动提拉紧致面部男女溶脂3d美容棒","26","南极人雪莱专卖店","2019-05"
"12","其他商品","李宁","Lining/李宁","20592","李宁体育(上海)有限公司","李宁体育(上海)有限公司","1","29.0","篮球精英袜中帮吸汗透气男士袜子休闲运动袜","4","飞洋运动专营店","2019-05"
"12","其他商品","汤臣倍健","汤臣倍健（BY-HEALTH）","3577479","汤臣倍健股份","汤臣倍健股份有限公司","321","43821.0","汤臣倍健婷好青春胶囊大豆异黄酮60粒","10","韩雪贝儿食品专营店","2019-05"
"12","其他商品","海尔","KKC","10448398","海尔集团","海尔信息科技（深圳）有限公司","9671","1247763.0","蜜粉色定制食品级硅胶漱口杯400ml 抗摔抗压只做换购用单拍不发货","38","kkc踞龙潭专卖店","2019-05"
"12","其他商品","海尔","海尔（Haier）","11016","海尔集团","青岛海尔投资发展有限公司","10015","905894.0","狂欢宝箱一元预约，单品七折带回家，丰富实物豪礼一元尽享","29","海尔飞达专卖店","2019-05"
"12","其他商品","科沃斯","科沃斯（Ecovacs）","3592686","科沃斯股份","科沃斯机器人有限公司","528","528.0","科沃斯扫地机器人配件抹布边刷海帕滚刷电池水箱电源充电座邮费等","1","科沃斯科帅专卖店","2019-05"
"12","其他商品","美的","美的（Midea）","30652","美的集团","美的集团股份有限公司","264873","2.3352619E7","香薰灯小夜灯氛围调情趣护眼插电小台灯卧室床头少女房间浪漫睡眠","1137","苏宁易购官方旗舰店","2019-05"
"12","其他商品","自然堂","CHANDO/自然堂","66927","伽蓝（集团）股份有限公司","伽蓝（集团）股份有限公司","13279","597555.0","自然堂雪域精粹冰肌水60ml 补水保湿滋养肌肤","1","天猫超市","2019-05"
"12","其他商品","阿迪达斯","Adidas/阿迪达斯","20579","阿迪达斯有限公司","阿迪达斯有限公司","32","480.0","【运费专拍】锐力运动专卖 邮费补差价","1","锐力运动户外专营店","2019-05"
"12","其他商品","韩束","红色小象","7951745","上海黎姿化妆品有限公司","上海黎姿化妆品有限公司","11","10989.0","【会员专享】儿童盈护洗发露255ml","1","红色小象旗舰店","2019-05"
"12","其他商品","飞科","飞科（FLYCO）","30822","飞科股份","上海飞科电器股份有限公司","35924","3156935.0","飞科（FLYCO）女士剃毛器FS5502脱毛器电动剃毛器刮腿毛刀剃腋毛","49","飞科鼎发专卖店","2019-05"
"7","家居建材","H&M","H&M","45445","HM官方旗舰店","HM官方旗舰店","5903","872760.0","H＆M至臻品质家居用品桌旗精致简约布艺水洗亚麻桌旗HM0574070","1104","HM官方旗舰店","2019-05"
"7","家居建材","TCL","TCL","10858","TCL集团","TCL集团股份有限公司","122538","2.3795008E7","集成吊顶铝扣板吸盘强力吸盘拆卸维护专用配件手机拆机工具吸屏器","2210","苏宁易购官方旗舰店","2019-05"
"7","家居建材","TCL","TCL-罗格朗","41278","TCL集团","TCL集团股份有限公司","237643","2.1400018E7","罗罗格朗开关插座面板逸典白色门禁钥匙出门复位按钮墙壁电源86型","6738","罗格朗金剀明专卖店","2019-05"
"7","家居建材","Zara","Zara","13261850","ZARA官方旗舰店","ZARA官方旗舰店","25338","6116135.0","镶边棉缎床品四件套 47228000656","3866","zarahome官方旗舰店","2019-05"
"7","家居建材","优衣库","Uniqlo/优衣库","29527","株式会社迅销","株式会社迅销","2214","92796.0","男装/女装 起居拖鞋 418852 优衣库UNIQLO","12","优衣库官方旗舰店","2019-05"
"7","家居建材","创维","创维（Skyworth）","11841","创维集团","创维集团有限公司","11","22219.0","创维指纹锁配件","20","创维颉鼎专卖店","2019-05"
