cid1,cid1_name,cid2,cid2_name,sale_qtty,gmv,spu_num,dt
0,其他,123690003,传统滋补,44563,905563,3404,Apr-19
0,其他,50026535,健康服务,160008,2.47E+08,23397,Apr-19
0,其他,125406001,天猫超市卡,473993,1.07E+08,54,Apr-19
0,其他,126602002,生活娱乐充值,16468963,1.78E+07,17,Apr-19
0,其他,126762001,美容美体仪器,15761,3576494,374,Apr-19
12,其他商品,120886001,公益捐赠/义卖,3764303,4783274,751,Apr-19
12,其他商品,50023724,其他,4831021,9.66E+07,13712,Apr-19
12,其他商品,98,包装,31008904,3.23E+08,21665,Apr-19
12,其他商品,126700003,家装灯饰光源,13796442,2.85E+09,346081,Apr-19
12,其他商品,124242008,智能设备,3515471,9.70E+08,523957,Apr-19
12,其他商品,201162107,汽车零部件/养护/美容/维保,9141000,9.01E+08,1327860,Apr-19
12,其他商品,127876007,清洗/食品/商业设备,83,421390,98,Apr-19
12,其他商品,126762001,美容美体仪器,6210841,1.17E+09,11012,Apr-19
7,家居建材,50020485,五金/工具,63390669,2.78E+09,6858565,Apr-19
7,家居建材,50008164,住宅家具,11922877,6.35E+09,868927,Apr-19
7,家居建材,124050001,全屋定制,7550186,5.71E+09,29014,Apr-19
7,家居建材,50020611,商业/办公家具,3809331,1.34E+09,103108,Apr-19
7,家居建材,50020332,基础建材,24519019,9.81E+08,158793,Apr-19
7,家居建材,50020808,家居饰品,15176654,1.29E+09,810012,Apr-19
7,家居建材,27,家装主材,9410338,1.57E+09,929397,Apr-19
7,家居建材,122852001,居家布艺,36064472,2.61E+09,388393,Apr-19
7,家居建材,50008163,床上用品,17465611,1.78E+09,263840,Apr-19
7,家居建材,50020857,特色手工艺,630394,2.98E+07,18101,Apr-19
7,家居建材,50020579,电子/电工,19925142,1.44E+09,217894,Apr-19
7,家居建材,50023804,装修设计/施工/监理,338575,2.01E+07,2778,Apr-19
4,家用电器,50002768,个人护理/保健/按摩器材,11195883,1.64E+09,37722,Apr-19
4,家用电器,50012082,厨房电器,12389980,3.62E+09,113395,Apr-19
4,家用电器,50022703,大家电,5159540,6.34E+09,112841,Apr-19
4,家用电器,127492005,家用空调,422,5083277,152,Apr-19
4,家用电器,50011972,影音电器,15724559,2.22E+09,6768954,Apr-19
4,家用电器,50012100,生活电器,7902045,2.09E+09,81510,Apr-19
3,手机数码,50008090,3C数码配件,77581589,2.79E+09,7366966,Apr-19
3,手机数码,50018222,DIY电脑,124346,4.19E+08,3071,Apr-19
3,手机数码,1201,MP3/MP4/iPod/录音笔,482983,1.19E+08,4862,Apr-19
3,手机数码,50007218,办公设备/耗材/相关服务,25627790,2.00E+09,766786,Apr-19
3,手机数码,124044001,品牌台机/品牌一体机/服务器,79361,5.64E+08,6333,Apr-19
3,手机数码,50019780,平板电脑/MID,197321,3.40E+08,1421,Apr-19
3,手机数码,1512,手机,2291905,4.95E+09,9226,Apr-19
3,手机数码,14,数码相机/单反相机/摄像机,89457,2.03E+08,18675,Apr-19
3,手机数码,50018004,文具电教/文化用品/商务用品,89981694,2.10E+09,782877,Apr-19
3,手机数码,50024099,电子元器件市场,13166616,1.24E+08,1597775,Apr-19
3,手机数码,20,电玩/配件/游戏/攻略,4998310,3.05E+08,184579,Apr-19
3,手机数码,11,电脑硬件/显示器/电脑周边,5799224,9.40E+08,187935,Apr-19
3,手机数码,1101,笔记本电脑,172322,8.69E+08,6773,Apr-19
3,手机数码,50018264,网络设备/网络相关,8116313,4.03E+08,98318,Apr-19
3,手机数码,50012164,闪存卡/U盘/存储/移动硬盘,3262798,2.42E+08,20209,Apr-19
10,文化玩乐,50017300,乐器/吉他/钢琴/配件,2804017,6.87E+08,3034298,Apr-19
10,文化玩乐,33,书籍/杂志/报纸,48921956,1.93E+09,27216668,Apr-19
10,文化玩乐,29,宠物/宠物食品及用品,24864702,1.28E+09,268427,Apr-19
